technology,location,0,1,2,3,4,5
DAC,LT,1.3353259604879148e-07,1.8089185048002079e-07,2.409176030562607e-07,3.3592114443835244e-07,4.824871651815146e-07,2.705483024512912e-06
DAC,LU,1.2583904931231204e-07,1.9233430619690848e-07,2.3518813559281233e-07,3.1460618544075514e-07,4.3220318587817843e-07,2.50281856183068e-06
DAC,LV,1.3260789348655823e-07,1.80597818313653e-07,2.3290194765281327e-07,3.185592798774761e-07,4.4680573181061555e-07,2.5685806821034154e-06
DAC,NL,1.2355062101848035e-07,1.7903628457249082e-07,2.3055827118862187e-07,3.053812753165486e-07,4.175208217327291e-07,2.3683062285879137e-06
DAC,NO,1.3545992852869057e-07,1.9679979487277762e-07,2.5078271594344004e-07,3.422015164975492e-07,5.103783347407795e-07,2.7714497093731905e-06
DAC,PL,1.3398136195261767e-07,1.924021867337782e-07,2.5440127934333346e-07,3.263212422125016e-07,4.4862048016887804e-07,2.4688617902120194e-06
DAC,PT,1.2862990986528483e-07,1.7730060720197798e-07,2.3863424007426524e-07,3.394321890436123e-07,4.7252280118577745e-07,2.593466686560295e-06
DAC,RO,1.258322633576026e-07,1.7171161440187478e-07,2.3279824444659013e-07,3.1549824744664543e-07,4.4287155962412965e-07,2.5146002378180326e-06
DAC,SE,1.2871158570189798e-07,1.8381243349053667e-07,2.399796471408723e-07,3.306049463366554e-07,4.721352384518581e-07,2.4777862935182283e-06
DAC,SI,1.310573038937671e-07,1.892829691239063e-07,2.328769821722844e-07,3.1268687155802574e-07,4.2972168223759695e-07,2.3094613047386834e-06
DAC,SK,1.2863989418508885e-07,1.7771386247312825e-07,2.282655606351652e-07,3.0185626601437705e-07,4.0737309434968985e-07,2.2920025137148077e-06
DAC,UK,1.308143380684417e-07,1.8397489391970304e-07,2.494261431630619e-07,3.4566002544087046e-07,4.920396023834278e-07,2.8450458629360646e-06
battery,AT,1.7170730124521746e-07,1.8792032302038635e-07,3.4472237641730123e-07,4.1679341753051857e-07,9.231348494928884e-07,7.252722675318165e-06
battery,BE,1.705547575798736e-07,1.8977405015953936e-07,3.3406991262029273e-07,3.967483235148538e-07,8.725469648342794e-07,6.086469076708345e-06
