technology,location,0,1,2,3,4,5
carbon_pipeline,FR-UK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HR-HU,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HR-SI,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HU-AT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HU-HR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HU-RO,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HU-SI,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,HU-SK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,IE-UK,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,IT-AT,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,IT-CH,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,IT-EL,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,IT-FR,0.0,0.0,0.0,0.0,0.0,0.0
carbon_pipeline,IT-SI,0.0,0.0,0.0,0.0,0.0,0.0
