technology,location,0,1,2,3,4,5,6,7,8,9
biomass_boiler,UK,73.55344817507623,71.43089015241749,53.54758261271427,42.44375699970051,11.000379565540165,5.575365875211744,3.5827277125564385e-07,4.983974397214672e-07,5.748330295360391e-07,1.6402897676950437e-06
biomass_plant,AT,12.690954670155614,9.6187569589436,9.422290304962168,9.134735081428868,8.885867182306301,8.507828531186176,4.724400485203667,0.8688074649107762,0.7492115132636563,0.3079794966657289
biomass_plant,BE,26.619719733694556,20.31860016735236,19.9886770153609,19.53980564004116,19.163626621941642,18.651727320669643,16.022122439121407,14.950862760571315,0.7585502987442705,0.6049515828653673
biomass_plant,BG,0.5711047840144141,0.5385749838401213,0.5295475196934617,0.548049021913209,0.5285667697970385,0.5205990772490847,0.4982622042220645,0.5053497600729329,4.576453671753593e-07,1.6751223349148311e-06
biomass_plant,CH,2.745405676477611,2.1839802497049874,2.1300604577976654,2.074081028998339,2.0342760281772265,1.9945188425901834,1.9721409126387188,0.8726493722741088,5.177902897477733e-07,2.025502841885911e-06
biomass_plant,CZ,11.872034724308621,9.21574774154883,8.914641684495075,8.752005536066342,8.512958941568945,8.172391745150735,5.47801746954533,1.5233997013643261,0.8531984738664562,0.8344394289686732
biomass_plant,DE,159.95026121831089,115.13912038769352,108.18696919087282,99.84491731033386,88.94997116378627,78.825790903831,47.60089011426447,38.16626753381826,16.823645318666316,2.565533714257139
biomass_plant,DK,60.080123485721415,48.89713520175733,47.28131670044303,45.60992566325086,42.740755141746455,39.85087493573674,33.19273625559497,35.43961839919667,33.68982094824122,31.2549507137566
biomass_plant,EE,6.077448997851621,5.11977607091597,4.99262875742239,4.8606485565816815,4.7668743840509045,4.704891624276044,4.478967071134862,3.8840109265605713,1.463155758127487,1.1442234515837588
biomass_plant,EL,3.048532226368047,2.75934821035474,2.6900186570234195,2.705919195343418,2.6545458602444905,1.4324277164189596,1.3669181277528402,3.8021395053676094e-07,4.696198348202497e-07,1.6517004221087193e-06
biomass_plant,ES,40.10814515173953,32.274821895667536,31.463905742561693,30.622465518437632,29.909501749000416,26.502666252531757,24.035701000772377,19.64981009362777,17.96051793786886,11.787342111573109
biomass_plant,FI,91.82877155689344,82.63893604003643,80.248187895213,76.85203793769551,67.96793159456548,53.97048620868596,44.524118085097385,39.74596975432519,25.581878627290315,10.57748149973872
biomass_plant,FR,46.886797399358315,42.57916998875951,40.222643174398,39.48820328083702,38.075984395262445,36.21433447332704,33.075536196413736,31.69510240151519,27.86419720202546,17.368870726079063
biomass_plant,HR,1.229094583900365,1.0510384739188583,1.02564680889369,0.9754342140161217,0.9529153941915718,0.938016440964925,0.8226671097848949,0.8286401116127957,1.0137969931523207,0.8266627305674102
biomass_plant,HU,14.800322891426125,13.346374833726747,13.012317924269144,12.810053177515927,12.563434910476863,12.367002331365883,6.223228228581376,5.867708676416062,2.02987432829669,0.048142801302919196
biomass_plant,IE,1.8225257578910503,1.4806330790371687,1.4438000841395673,0.906670969771825,0.6424655581503956,0.4260774144240432,0.1435247962147717,3.4073647002722467e-07,4.370679970458667e-07,1.2983046932254214e-06
biomass_plant,IT,34.59552776565507,25.523970511470107,25.15276415907522,24.48673244736611,23.398461518659463,17.024684189746544,10.080793090621928,6.225414362723703,3.970708441294442,2.674957352098204
biomass_plant,LT,1.3355309942134228,1.147611319536901,1.1190627553468835,1.0943519378790258,1.073283573630008,1.0565025752648316,1.0979367088428216,1.0822632863056618,1.1263142094565182,0.8615734443772705
biomass_plant,LU,1.0954363982672776e-07,1.3054457978499916e-07,1.6283728635324267e-07,1.837141541385444e-07,2.0648132669430722e-07,2.4683518966826106e-07,3.1642974429314313e-07,4.014381242247106e-07,5.150053556393136e-07,1.6989145961640347e-06
biomass_plant,LV,1.9872909228285534,1.683878265188839,1.6419892428451541,1.59851027407013,1.5748179007086862,1.550195299605329,1.6109919093173184,1.5879942354360008,1.6526296331941446,1.6410029401612369e-06
biomass_plant,NL,50.85618678084608,37.63447790564934,36.881748965741544,35.982086349745664,34.04946625548664,33.44303995669389,29.838587136895384,33.25702037790953,33.60113400690346,2.3268054496266832
biomass_plant,NO,0.12064165851809247,0.11254961520442362,0.10972177617303325,0.10797587242761526,0.10637552433517009,0.10471237039694323,2.2838764155042902e-07,2.76037503218053e-07,3.3522735035944e-07,1.0343011488359774e-06
